,matrix,Tcsr,Topt,OptimumFormat,speedup,experiment,matrix_id
3825,af_shell9,0.001033,0.000350515,3,2.947092135857239,instinct-square_set-hip-1000,153
3826,af_shell3,0.0010316,0.000350117,3,2.9464436174193196,instinct-square_set-hip-1000,162
3827,af_shell7,0.00103271,0.000350498,3,2.946407682782784,instinct-square_set-hip-1000,164
2308,GD01_Acap,1.53395e-05,5.21046e-06,0,2.9439819133051595,a64fx-square_set-serial-1000,475
3828,af_shell2,0.0010312,0.000350702,3,2.9403881357962027,instinct-square_set-hip-1000,155
2309,email-EuAll,0.0115679,0.00395027,0,2.9283821105899097,a64fx-square_set-serial-1000,270
1162,zenios,4.38139e-05,1.49662e-05,5,2.9275233526212396,archer2-square_set-serial-1000,619
815,bundle_adj,0.0268803,0.00919512,0,2.92332237099679,archer2-square_set-openmp-1000,275
302,TSOPF_RS_b2052_c1,0.00261686,0.000898589,0,2.9121878856740957,cirrus-square_set-openmp-1000,274
816,bundle1,0.000941916,0.000323716,0,2.909698624720434,archer2-square_set-openmp-1000,263
2310,S10PI_n1,1.7941e-05,6.16882e-06,0,2.908335791934276,a64fx-square_set-serial-1000,640
2311,M20PI_n1,3.52586e-05,1.21334e-05,0,2.9059126048757977,a64fx-square_set-serial-1000,576
3829,loc-Gowalla,0.000695095,0.000239591,0,2.9011732494125404,instinct-square_set-hip-1000,78
3830,Emilia_923,0.00200225,0.000692628,3,2.8908014114358647,instinct-square_set-hip-1000,110
3831,cage15,0.00783433,0.00271258,4,2.8881470776898746,instinct-square_set-hip-1000,55
2312,S20PI_n1,3.52812e-05,1.22179e-05,0,2.8876648196498578,a64fx-square_set-serial-1000,579
3832,c-57,0.00045104,0.000156693,0,2.8784948912842308,instinct-square_set-hip-1000,178
1821,vsp_south31_slptsk,0.00050382,0.000175404,0,2.872340425531915,a64fx-square_set-openmp-1000,72
303,bundle_adj,0.0180234,0.00627657,0,2.871536523929471,cirrus-square_set-openmp-1000,275
2313,M10PI_n1,1.79399e-05,6.27299e-06,0,2.8598642752499206,a64fx-square_set-serial-1000,533
3833,webbase-1M,0.000768923,0.000269341,0,2.8548308649630028,instinct-square_set-hip-1000,68
304,loc-Gowalla,0.000736748,0.00025821,0,2.853289957786298,cirrus-square_set-openmp-1000,78
305,flickr,0.0104184,0.00365156,0,2.8531367415570332,cirrus-square_set-openmp-1000,73
3834,nlpkkt120,0.00453296,0.00159637,3,2.839542211392096,instinct-square_set-hip-1000,56
817,Chebyshev4,0.00636365,0.00224442,0,2.8353204836884363,archer2-square_set-openmp-1000,50
306,vsp_befref_fxm_2_4_air02,0.000130449,4.64238e-05,0,2.8099595466118674,cirrus-square_set-openmp-1000,276
2314,GD00_c,2.52195e-05,8.97603e-06,0,2.8096497003686487,a64fx-square_set-serial-1000,932
43,mult_dcop_03,0.000429155,0.000152824,0,2.8081649479139403,cirrus-square_set-cuda-1000,43
2315,GD01_b,7.31931e-07,2.61004e-07,0,2.804290355703361,a64fx-square_set-serial-1000,457
1822,sx-askubuntu,0.000762263,0.000272547,0,2.796813026744011,a64fx-square_set-openmp-1000,65
818,Chebyshev3,4.65389e-05,1.67024e-05,0,2.7863600440655234,archer2-square_set-openmp-1000,128
1823,caidaRouterLevel,0.00134126,0.000482047,0,2.782425780058791,a64fx-square_set-openmp-1000,312
3835,ML_Geer,0.00480689,0.00172763,3,2.782360806422672,instinct-square_set-hip-1000,138
2316,internet,0.00527435,0.00189826,0,2.7785182219506286,a64fx-square_set-serial-1000,405
2317,kmer_V1r,10.0218,3.61013,0,2.7760219161082844,a64fx-square_set-serial-1000,836
2318,netherlands_osm,0.0974181,0.035098,0,2.7756025984386574,a64fx-square_set-serial-1000,687
3836,Transport,0.000847554,0.000307772,2,2.753837256150657,instinct-square_set-hip-1000,61
1382,rajat29,0.00330931,0.00120232,0,2.7524369552199084,xci-square_set-openmp-1000,5
44,nlpkkt160,0.0126037,0.00458652,3,2.7479875809982297,cirrus-square_set-cuda-1000,44
819,ASIC_100k,0.000588668,0.000214307,0,2.746844480114975,archer2-square_set-openmp-1000,24
1824,c-45,0.000389384,0.000142299,0,2.7363790328814677,a64fx-square_set-openmp-1000,273
3837,shermanACd,0.000367888,0.000134486,0,2.73551150305608,instinct-square_set-hip-1000,104
307,atmosmodj,0.00170398,0.000623267,2,2.733948692935772,cirrus-square_set-openmp-1000,92
3838,Chebyshev3,0.000343144,0.000125853,0,2.726546049756462,instinct-square_set-hip-1000,128
3839,Chebyshev4,0.000914255,0.000337147,0,2.711739982856143,instinct-square_set-hip-1000,50
1551,Trefethen_500,8.25256e-05,3.06718e-05,5,2.6906017905698394,xci-square_set-serial-1000,423
45,mult_dcop_01,0.000426793,0.000158877,0,2.6863107938845774,cirrus-square_set-cuda-1000,45
46,mult_dcop_02,0.000427129,0.000159123,0,2.684269401657837,cirrus-square_set-cuda-1000,46
